Date,AAPL,BAC,BTC-USD,C,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MSFT,NFLX,NKE,VOD
2000-06-26,0.966517984867096,23.96875,,480.0,45.625,,,,67.09375,47.5625,33.4375,39.75,,4.875,52.86151123046875
2000-06-27,0.924107015132904,23.5,,479.53125,44.5,,,,65.6875,47.9375,32.6875,39.40625,,4.992187976837158,52.133392333984375
2000-06-28,0.9720979928970337,22.7109375,,481.40625,45.625,,,,66.1875,47.046875,32.21875,39.46875,,4.886719226837158,50.076454162597656
2000-06-29,0.9151790142059326,22.71875,,469.6875,46.0,,,,65.875,47.625,31.25,38.59375,,4.9375,48.0559196472168
2000-06-30,0.935267984867096,21.5,,451.875,45.5,,,,66.84375,46.0625,32.9375,40.0,,4.976562976837158,48.6384162902832
2000-07-03,0.9520090222358704,22.5,,468.28125,47.0625,,,,68.4375,47.5625,32.5,40.0,,5.125,52.82510757446289
2000-07-05,0.921875,22.65625,,474.375,44.75,,,,65.8125,47.75,31.8125,39.25,,5.03125,51.98776626586914
2000-07-06,0.9252229928970337,22.90625,,479.0625,46.3125,,,,68.3125,48.0,32.1875,40.46875,,5.0625,59.41459274291992
2000-07-07,0.9720979928970337,23.71875,,488.90625,45.375,,,,69.65625,50.0625,32.5,41.0,,5.257812976837158,56.21086502075195
2000-07-10,1.020089030265808,23.71875,,489.375,46.0,,,,68.90625,49.75,32.25,39.71875,,5.210937976837158,55.337120056152344
2000-07-11,1.0167410373687744,23.46875,,501.5625,46.5,,,,69.40625,50.6875,32.5625,39.5625,,5.382812976837158,53.29838562011719
2000-07-12,1.051339030265808,23.5,,501.5625,42.9375,,,,70.59375,50.5625,32.0,40.15625,,5.304687976837158,54.60900115966797
2000-07-13,1.0089290142059326,23.09375,,499.6875,42.75,,,,71.59375,50.75,31.5,39.96875,,5.492187976837158,53.37119674682617
2000-07-14,1.0301339626312256,23.75,,510.0,43.375,,,,73.34375,52.5,31.375,39.46875,,5.484375,53.662445068359375
2000-07-17,1.041295051574707,23.4375,,497.8125,43.375,,,,73.15625,52.03125,31.3125,39.09375,,5.652344226837158,55.118682861328125
2000-07-18,1.0223209857940674,23.125,,500.15625,42.0,,,,71.5,50.9375,31.3125,39.25,,5.617187976837158,53.007137298583984
2000-07-19,0.9408479928970337,23.09375,,510.0,43.0,,,,69.0625,50.6875,31.375,36.5625,,5.507812976837158,54.75462341308594
2000-07-20,0.984375,24.1875,,529.21875,44.0,,,,71.34375,51.3125,31.6875,37.40625,,5.578125,53.22557067871094
2000-07-21,0.9564729928970337,24.375,,531.5625,43.0625,,,,69.09375,52.734375,30.875,36.15625,,5.585937976837158,52.20620346069336
2000-07-24,0.8694199919700623,23.71875,,530.625,39.0,,,,69.0,51.5625,30.25,35.28125,,5.742187976837158,52.42464065551758
2000-07-25,0.8939729928970337,24.125,,528.28125,39.25,,,,70.4375,51.25,31.3125,34.5,,5.796875,53.444007873535156
2000-07-26,0.8939729928970337,23.53125,,522.1875,42.0,,,,69.5,49.375,31.6875,33.90625,,5.882812976837158,53.15275955200195
2000-07-27,0.9285709857940674,23.375,,524.53125,40.5,,,,68.5,49.875,32.1875,34.6875,,5.75,51.4052734375
2000-07-28,0.8627229928970337,23.25,,515.15625,40.9375,,,,64.5625,48.375,32.0,34.84375,,5.515625,49.51216125488281
