Date,AAPL,BAC,BTC-USD,COKE,DOGE-USD,ETH-USD,GOOG,INTC,JPM,MCD,MS,MSFT,NFLX,NKE,VOD
1981-01-05,0.15067000687122345,1.78125,,7.875,,,,0.43489599227905273,6.722221851348877,1.2283949851989746,,,,0.17480500042438507,
1981-01-06,0.1439729928970337,1.78125,,7.875,,,,0.42447900772094727,6.629630088806152,1.2839510440826416,,,,0.1757809966802597,
1981-01-07,0.13783499598503113,1.765625,,7.625,,,,0.41145798563957214,6.444444179534912,1.2839510440826416,,,,0.16601599752902985,
1981-01-08,0.13504500687122345,1.734375,,7.625,,,,0.40364599227905273,6.518518924713135,1.3395060300827026,,,,0.16210900247097015,
1981-01-09,0.14229899644851685,1.734375,,7.625,,,,0.40364599227905273,6.740740776062012,1.3395060300827026,,,,0.1601559966802597,
1981-01-12,0.141183003783226,1.703125,,7.625,,,,0.39583298563957214,6.925926208496094,1.35493803024292,,,,0.16210900247097015,
1981-01-13,0.13616099953651428,1.6875,,7.625,,,,0.39322900772094727,6.962963104248047,1.3456790447235107,,,,0.16601599752902985,
1981-01-14,0.1367190033197403,1.6875,,7.625,,,,0.39583298563957214,7.018518924713135,1.3240740299224854,,,,0.171875,
1981-01-15,0.13950900733470917,1.65625,,7.625,,,,0.3984380066394806,7.148148059844971,1.30246901512146,,,,0.171875,
1981-01-16,0.13839299976825714,1.6875,,7.75,,,,0.41666701436042786,7.1666669845581055,1.2932100296020508,,,,0.171875,
1981-01-19,0.14676299691200256,1.703125,,8.0,,,,0.41666701436042786,7.037036895751953,1.305556058883667,,,,0.171875,
1981-01-20,0.14229899644851685,1.6875,,8.0,,,,0.40364599227905273,7.0,1.2901229858398438,,,,0.16601599752902985,
1981-01-21,0.14508900046348572,1.703125,,8.0,,,,0.40104201436042786,6.907406806945801,1.3179010152816772,,,,0.1640630066394806,
1981-01-22,0.14676299691200256,1.703125,,8.0,,,,0.40104201436042786,6.907406806945801,1.3148150444030762,,,,0.15625,
1981-01-23,0.14620499312877655,1.6875,,8.0,,,,0.40885400772094727,6.925926208496094,1.3179010152816772,,,,0.1601559966802597,
1981-01-26,0.1439729928970337,1.6875,,8.125,,,,0.3984380066394806,6.814815044403076,1.3333330154418945,,,,0.15625,
1981-01-27,0.14285700023174286,1.65625,,8.0,,,,0.39583298563957214,6.907406806945801,1.3333330154418945,,,,0.15625,
